time,pos1,pos2,vel1,vel2,tau1,tau2
5.354999999999999760e-01,9.451123536141500803e-02,-7.453036057261715197e-02,-2.549713236608134315e-01,-2.448577517934044656e-01,0.000000000000000000e+00,-6.594623521831937119e-01
5.399999999999999245e-01,9.336386440494134908e-02,-7.563222045568747387e-02,-2.558074391650386192e-01,-2.462720879734001389e-01,0.000000000000000000e+00,-6.622664604923471643e-01
5.444999999999998730e-01,9.221273092869868016e-02,-7.674044485156777951e-02,-2.566080180188658466e-01,-2.476832258999590308e-01,0.000000000000000000e+00,-6.651005744932759756e-01
5.489999999999998215e-01,9.105799484761378793e-02,-7.785501936811758950e-02,-2.573728312277849262e-01,-2.490913253947267259e-01,0.000000000000000000e+00,-6.679648731911573822e-01
5.534999999999997700e-01,8.989981710708876139e-02,-7.897593033239386218e-02,-2.581016537706385949e-01,-2.504965461299316076e-01,0.000000000000000000e+00,-6.708595395889925816e-01
5.579999999999997184e-01,8.873835966512089168e-02,-8.010316478997855927e-02,-2.587942646089780863e-01,-2.518990476480974516e-01,0.000000000000000000e+00,-6.737847607180573739e-01
5.624999999999996669e-01,8.757378547438049443e-02,-8.123671050439500163e-02,-2.594504466959500211e-01,-2.532989893817735316e-01,0.000000000000000000e+00,-6.767407276718805376e-01
5.669999999999996154e-01,8.640625846424872247e-02,-8.237655595661298735e-02,-2.600699869846984646e-01,-2.546965306733029455e-01,0.000000000000000000e+00,-6.797276356436817712e-01
5.714999999999995639e-01,8.523594352281757547e-02,-8.352269034464285258e-02,-2.606526764362679383e-01,-2.560918307946489780e-01,0.000000000000000000e+00,-6.827456839672380040e-01
5.759999999999995124e-01,8.406300647885436850e-02,-8.467510358321876651e-02,-2.611983100269919533e-01,-2.574850489672988463e-01,0.000000000000000000e+00,-6.857950761611217860e-01
5.804999999999994609e-01,8.288761408373290784e-02,-8.583378630357160755e-02,-2.617066867553538567e-01,-2.588763443822641452e-01,0.000000000000000000e+00,-6.888760199762703484e-01
5.849999999999994094e-01,8.170993399333381646e-02,-8.699872985329179520e-02,-2.621776096483048879e-01,-2.602658762201964238e-01,0.000000000000000000e+00,-6.919887274468332627e-01
5.894999999999993578e-01,8.053013474991643772e-02,-8.816992629628267464e-02,-2.626108857670267915e-01,-2.616538036716357096e-01,0.000000000000000000e+00,-6.951334149442526256e-01
5.939999999999993063e-01,7.934838576396481546e-02,-8.934736841280503661e-02,-2.630063262121252188e-01,-2.630402859574101360e-01,0.000000000000000000e+00,-6.983103032345270300e-01
5.984999999999992548e-01,7.816485729601024834e-02,-9.053104969961338344e-02,-2.633637461282409276e-01,-2.644254823492037110e-01,0.000000000000000000e+00,-7.015196175386119171e-01
6.029999999999992033e-01,7.697972043843316625e-02,-9.172096437018480153e-02,-2.636829647080664585e-01,-2.658095521903085512e-01,0.000000000000000000e+00,-7.047615875959051257e-01
6.074999999999991518e-01,7.579314709724686849e-02,-9.291710735504118968e-02,-2.639638051957557408e-01,-2.671926549165785092e-01,0.000000000000000000e+00,-7.080364477307691251e-01
6.119999999999991003e-01,7.460530997386596863e-02,-9.411947430216578703e-02,-2.642060948897151373e-01,-2.685749500775995169e-01,0.000000000000000000e+00,-7.113444369220439656e-01
6.164999999999990488e-01,7.341638254686225218e-02,-9.532806157751498588e-02,-2.644096651447636614e-01,-2.699565973580921874e-01,0.000000000000000000e+00,-7.146857988754948821e-01
6.209999999999989972e-01,7.222653905371081984e-02,-9.654286626562640083e-02,-2.645743513736519836e-01,-2.713377565995618856e-01,0.000000000000000000e+00,-7.180607820991546930e-01
6.254999999999989457e-01,7.103595447252938899e-02,-9.776388617032442940e-02,-2.646999930479287944e-01,-2.727185878222101456e-01,0.000000000000000000e+00,-7.214696399814972683e-01
6.299999999999988942e-01,6.984480450381370942e-02,-9.899111981552437267e-02,-2.647864336981442523e-01,-2.740992512471220888e-01,0.000000000000000000e+00,-7.249126308724085366e-01
6.344999999999988427e-01,6.865326555217206306e-02,-1.002245664461364205e-01,-2.648335209133803048e-01,-2.754799073187431668e-01,0.000000000000000000e+00,-7.283900181668929719e-01
6.389999999999987912e-01,6.746151470806184547e-02,-1.014642260290707643e-01,-2.648411063400983312e-01,-2.768607167276582737e-01,0.000000000000000000e+00,-7.319020703914687065e-01
6.434999999999987397e-01,6.626972972953140695e-02,-1.027100992543452246e-01,-2.648090456802941195e-01,-2.782418404336860496e-01,0.000000000000000000e+00,-7.354490612932061966e-01
6.479999999999986882e-01,6.507808902397008155e-02,-1.039621875362968101e-01,-2.647371986889520135e-01,-2.796234396893008678e-01,0.000000000000000000e+00,-7.390312699313544842e-01
6.524999999999986366e-01,6.388677162986980407e-02,-1.052204930148986639e-01,-2.646254291707885731e-01,-2.810056760633941053e-01,0.000000000000000000e+00,-7.426489807715049851e-01
6.569999999999985851e-01,6.269595719860125704e-02,-1.064850185571839386e-01,-2.644736049762782537e-01,-2.823887114653861330e-01,0.000000000000000000e+00,-7.463024837822520574e-01
6.614999999999985336e-01,6.150582597620800340e-02,-1.077557677587781815e-01,-2.642815979969526108e-01,-2.837727081697001830e-01,0.000000000000000000e+00,-7.499920745342874007e-01
6.659999999999984821e-01,6.031655878522171332e-02,-1.090327449455418263e-01,-2.640492841599657026e-01,-2.851578288406084738e-01,0.000000000000000000e+00,-7.537180543018882073e-01
6.704999999999984306e-01,5.912833700650186458e-02,-1.103159551753245676e-01,-2.637765434219184191e-01,-2.865442365574609740e-01,0.000000000000000000e+00,-7.574807301667483284e-01
6.749999999999983791e-01,5.794134256110323317e-02,-1.116054042398331447e-01,-2.634632597619346317e-01,-2.879320948403065739e-01,0.000000000000000000e+00,-7.612804151240988304e-01
6.794999999999983276e-01,5.675575789217452566e-02,-1.129010986666145189e-01,-2.631093211739832793e-01,-2.893215676759154364e-01,0.000000000000000000e+00,-7.651174281910727570e-01
6.839999999999982760e-01,5.557176594689160198e-02,-1.142030457211561378e-01,-2.627146196584395077e-01,-2.907128195442124086e-01,0.000000000000000000e+00,-7.689920945172671329e-01
6.884999999999982245e-01,5.438955015842862617e-02,-1.155112534091050913e-01,-2.622790512128797547e-01,-2.921060154451291524e-01,0.000000000000000000e+00,-7.729047454974483644e-01
6.929999999999981730e-01,5.320929442797067005e-02,-1.168257304786081696e-01,-2.618025158221048976e-01,-2.935013209258837130e-01,0.000000000000000000e+00,-7.768557188863552954e-01
6.974999999999981215e-01,5.203118310677119773e-02,-1.181464864227746436e-01,-2.612849174473869107e-01,-2.948989021086949047e-01,0.000000000000000000e+00,-7.808453589155558427e-01
7.019999999999980700e-01,5.085540097825795580e-02,-1.194735314822637645e-01,-2.607261640149337589e-01,-2.962989257189388992e-01,0.000000000000000000e+00,-7.848740164123042540e-01
7.064999999999980185e-01,4.968213324019075255e-02,-1.208068766479989953e-01,-2.601261674035689198e-01,-2.977015591137553985e-01,0.000000000000000000e+00,-7.889420489203549103e-01
