time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.250125682949141170e-01,0.000000000000000000e+00
5.000000000000000104e-03,-1.474361971567261689e-04,3.527562788372141369e-04,-5.896340202601373787e-02,1.410682108068170570e-01,-1.371586539456907561e+00,0.000000000000000000e+00
1.000000000000000021e-02,-7.208975591853708249e-04,1.724587592547479047e-03,-1.703779709944460985e-01,4.075306230402474528e-01,-1.851316373233190538e+00,0.000000000000000000e+00
1.499999999999999944e-02,-1.948128503437306308e-03,4.659482358362181456e-03,-3.204212896027969770e-01,7.661388543507179349e-01,-2.207669291880875573e+00,0.000000000000000000e+00
2.000000000000000042e-02,-3.996350930974860646e-03,9.555560636381806028e-03,-4.987095869421238614e-01,1.191802479628824463e+00,-2.468941479448450771e+00,0.000000000000000000e+00
2.500000000000000139e-02,-6.986401523596201708e-03,1.669856907411055441e-02,-6.970731622898358459e-01,1.664664131337109998e+00,-2.650627737220505598e+00,0.000000000000000000e+00
3.000000000000000236e-02,-1.100119969911716143e-02,2.628181465921397564e-02,-9.085141147818454055e-01,2.167602718924768190e+00,-2.761554644668440250e+00,0.000000000000000000e+00
3.500000000000000333e-02,-1.609023967173901781e-02,3.841656149154117766e-02,-1.126659446814759047e+00,2.684919190229750452e+00,-2.826530638580672772e+00,0.000000000000000000e+00
4.000000000000000083e-02,-2.227595542764496117e-02,5.314688069546537330e-02,-1.347057498596868630e+00,3.205433200797751070e+00,-2.882582842255048128e+00,0.000000000000000000e+00
4.499999999999999833e-02,-2.956579360502083892e-02,7.047812252017814083e-02,-1.568163679999801330e+00,3.724832109446708728e+00,-2.913147394613869512e+00,0.000000000000000000e+00
4.999999999999999584e-02,-3.795585488118990297e-02,9.038518877367990312e-02,-1.786985440310606910e+00,4.235252663105553594e+00,-2.903562440346028950e+00,0.000000000000000000e+00
5.499999999999999334e-02,-4.742410456854651707e-02,1.127959033538595834e-01,-1.999266979770632391e+00,4.725744868438208179e+00,-2.871463210581220782e+00,0.000000000000000000e+00
5.999999999999999084e-02,-5.793070167566632261e-02,1.375915278840000866e-01,-2.202148509169168378e+00,5.188655171588234083e+00,-2.830352677627067770e+00,0.000000000000000000e+00
6.499999999999998834e-02,-6.942423762316893288e-02,1.646215362781469904e-01,-2.393870481913831672e+00,5.618945769346125552e+00,-2.785622593367523159e+00,0.000000000000000000e+00
6.999999999999999278e-02,-8.184571211146789149e-02,1.937131308929248841e-01,-2.573164515907493843e+00,6.012772953898960715e+00,-2.738802361428491761e+00,0.000000000000000000e+00
7.499999999999999722e-02,-9.513034490773258911e-02,2.246757737276983691e-01,-2.738996374116967392e+00,6.366913397116927165e+00,-2.690441182683875443e+00,0.000000000000000000e+00
8.000000000000000167e-02,-1.092086894926380947e-01,2.573042557546296183e-01,-2.890542636654890085e+00,6.678749746748623650e+00,-2.640121544726768743e+00,0.000000000000000000e+00
8.500000000000000611e-02,-1.240076256659227300e-01,2.913816826323258891e-01,-3.027164717280879103e+00,6.946248871256314850e+00,-2.586860155970008623e+00,0.000000000000000000e+00
9.000000000000001055e-02,-1.394512811809173469e-01,3.266824812342309370e-01,-3.148405566904910469e+00,7.167989219280701541e+00,-2.529797859694914219e+00,0.000000000000000000e+00
9.500000000000001499e-02,-1.554620344305798763e-01,3.629757494641067672e-01,-3.254024555973048294e+00,7.343268171939039135e+00,-2.467544528105065194e+00,0.000000000000000000e+00
1.000000000000000194e-01,-1.719615217250183847e-01,4.000287176596629135e-01,-3.343964455598912089e+00,7.472039457100858151e+00,-2.398714156329704306e+00,0.000000000000000000e+00
1.050000000000000239e-01,-1.888715374975286077e-01,4.376100038644546442e-01,-3.418341691924453585e+00,7.554893427345438006e+00,-2.321980349591542314e+00,0.000000000000000000e+00
1.100000000000000283e-01,-2.061148528953321846e-01,4.754926643956544074e-01,-3.477424013062470287e+00,7.592996600150768494e+00,-2.236392861211484728e+00,0.000000000000000000e+00
1.150000000000000328e-01,-2.236159433810702146e-01,5.134569609707253512e-01,-3.521617114610135157e+00,7.588040752354756613e+00,-2.140932232899166454e+00,0.000000000000000000e+00
1.200000000000000372e-01,-2.413015455611081661e-01,5.512926186308291232e-01,-3.551410843325419453e+00,7.542093633009796960e+00,-2.035310351091900394e+00,0.000000000000000000e+00
1.250000000000000278e-01,-2.591010726057525471e-01,5.888006093693094467e-01,-3.567376919824126524e+00,7.457559827701751409e+00,-1.919418593125062245e+00,0.000000000000000000e+00
1.300000000000000322e-01,-2.769469182658345074e-01,6.257945085429805765e-01,-3.570127616441760132e+00,7.337051954005604948e+00,-1.793908199271599280e+00,0.000000000000000000e+00
1.350000000000000366e-01,-2.947746580190259147e-01,6.621014318519028441e-01,-3.560316152584988902e+00,7.183352174763346198e+00,-1.659366616506204872e+00,0.000000000000000000e+00
1.400000000000000411e-01,-3.125231300969706361e-01,6.975625203464005386e-01,-3.538588894555652509e+00,6.999271963192083668e+00,-1.517055235421976844e+00,0.000000000000000000e+00
1.450000000000000455e-01,-3.301344170609258333e-01,7.320330319013688136e-01,-3.505593103069984728e+00,6.787633885437031722e+00,-1.368157619988594309e+00,0.000000000000000000e+00
1.500000000000000500e-01,-3.475537668221730381e-01,7.653821423540702051e-01,-3.461945191971184776e+00,6.551174526270670206e+00,-1.214121150833572749e+00,0.000000000000000000e+00
1.550000000000000544e-01,-3.647294314325822406e-01,7.974924354640775537e-01,-3.408229224757894471e+00,6.292515934456355708e+00,-1.056297300151050944e+00,0.000000000000000000e+00
1.600000000000000588e-01,-3.816124634248276859e-01,8.282591919763865329e-01,-3.344981314332172939e+00,6.014113552932359497e+00,-8.959173117686823895e-01,0.000000000000000000e+00
1.650000000000000633e-01,-3.981564498670898122e-01,8.575894659988955171e-01,-3.272680024658898734e+00,5.718222395139891390e+00,-7.344013048958645262e-01,0.000000000000000000e+00
1.700000000000000677e-01,-4.143172569233344316e-01,8.854011171755936660e-01,-3.191759816695827201e+00,5.406912063234063481e+00,-5.726372720448096310e-01,0.000000000000000000e+00
1.750000000000000722e-01,-4.300527488450703872e-01,9.116217481457455918e-01,-3.102587357185280226e+00,5.082014052767132029e+00,-4.117587061164731388e-01,0.000000000000000000e+00
1.800000000000000766e-01,-4.453225073288835656e-01,9.361876148700938316e-01,-3.005484944231004985e+00,4.745162173016543861e+00,-2.527926765231162110e-01,0.000000000000000000e+00
1.850000000000000810e-01,-4.600876208041248527e-01,9.590426501138391568e-01,-2.900735024344993196e+00,4.397797460285442384e+00,-9.665219549652348530e-02,0.000000000000000000e+00
1.900000000000000855e-01,-4.743104976525363004e-01,9.801375176897619834e-01,-2.788585143028492919e+00,4.041175312980604062e+00,5.585792583891413532e-02,0.000000000000000000e+00
1.950000000000000899e-01,-4.879547056035950514e-01,9.994287075912371421e-01,-2.669253387423284440e+00,3.676374535949602063e+00,2.035318049035403365e-01,0.000000000000000000e+00
2.000000000000000944e-01,-5.009849047689794999e-01,1.016877793436327337e+00,-2.542960281580415316e+00,3.304352779364346571e+00,3.448201584512501916e-01,0.000000000000000000e+00
