time,pos1,pos2,vel1,vel2,tau1,tau2
9.500000000000001499e-02,-1.554611677289484684e-01,3.629738631202680810e-01,-3.254036208188625157e+00,7.343300881693523685e+00,-2.467568538590914962e+00,0.000000000000000000e+00
1.000000000000000194e-01,-1.719607183090550162e-01,4.000270069637057446e-01,-3.343978092305782024e+00,7.472076924784436081e+00,-2.398768977792419044e+00,0.000000000000000000e+00
1.050000000000000239e-01,-1.888708124455477089e-01,4.376085039212851413e-01,-3.418359360069125774e+00,7.554940126612796902e+00,-2.322056869051115857e+00,0.000000000000000000e+00
1.100000000000000283e-01,-2.061142295697187266e-01,4.754914278955129636e-01,-3.477446983100467293e+00,7.593055102965354131e+00,-2.236458486705497961e+00,0.000000000000000000e+00
1.150000000000000328e-01,-2.236154456058478124e-01,5.134560400538183966e-01,-3.521644317614059272e+00,7.588108322861920385e+00,-2.140986818333811215e+00,0.000000000000000000e+00
1.200000000000000372e-01,-2.413011919217310230e-01,5.512920521085293846e-01,-3.551441255023706223e+00,7.542167682891160574e+00,-2.035363290755837440e+00,0.000000000000000000e+00
1.250000000000000278e-01,-2.591008782886154438e-01,5.888004270045014144e-01,-3.567410201719377394e+00,7.457639314954954024e+00,-1.919510462071069679e+00,0.000000000000000000e+00
1.300000000000000322e-01,-2.769469034431076837e-01,6.257947492252473598e-01,-3.570166083287611869e+00,7.337141507501160120e+00,-1.794000677730329674e+00,0.000000000000000000e+00
1.350000000000000366e-01,-2.947748480047378550e-01,6.621021435177565362e-01,-3.560359564980970504e+00,7.183450848762561236e+00,-1.659518191843046164e+00,0.000000000000000000e+00
1.400000000000000411e-01,-3.125235582186802197e-01,6.975637653809630967e-01,-3.538640673218136801e+00,6.999386395209507228e+00,-1.517125741491172963e+00,0.000000000000000000e+00
1.450000000000000455e-01,-3.301351118437586551e-01,7.320348602350108536e-01,-3.505647965224691909e+00,6.787752670514311859e+00,-1.368272150149515420e+00,0.000000000000000000e+00
1.500000000000000500e-01,-3.475547499918298922e-01,7.653845876979358254e-01,-3.462005649898738824e+00,6.551302396529639971e+00,-1.214237007496519194e+00,0.000000000000000000e+00
1.550000000000000544e-01,-3.647307307068026749e-01,7.974955416082591952e-01,-3.408295179820547194e+00,6.292652251905790806e+00,-1.056415704775576003e+00,0.000000000000000000e+00
1.600000000000000588e-01,-3.816141062954594987e-01,8.282630001296822364e-01,-3.345052774065129686e+00,6.014257921175970800e+00,-8.961003088275772965e-01,0.000000000000000000e+00
1.650000000000000633e-01,-3.981584727972612980e-01,8.575940326192147412e-01,-3.272760551559227959e+00,5.718381236600842854e+00,-7.345068156790939273e-01,0.000000000000000000e+00
1.700000000000000677e-01,-4.143196938812424568e-01,8.854064917009324409e-01,-3.191844891341518053e+00,5.407076314640684167e+00,-5.727171940670573447e-01,0.000000000000000000e+00
1.750000000000000722e-01,-4.300556189564939125e-01,9.116279503011037733e-01,-3.102675544295181442e+00,5.082180824568814259e+00,-4.119510135462522427e-01,0.000000000000000000e+00
1.800000000000000766e-01,-4.453258416464133118e-01,9.361946853855789286e-01,-3.005582417895722447e+00,4.745342619677235696e+00,-2.529387799544906001e-01,0.000000000000000000e+00
1.850000000000000810e-01,-4.600914592754674626e-01,9.590506445848241412e-01,-2.900839204838532748e+00,4.397986531797513088e+00,-9.670660408386191897e-02,0.000000000000000000e+00
1.900000000000000855e-01,-4.743148614965178034e-01,9.801464567883706458e-01,-2.788691123270255812e+00,4.041364118384902504e+00,5.572447218269274694e-02,0.000000000000000000e+00
1.950000000000000899e-01,-4.879596145873321689e-01,9.994386092323289672e-01,-2.669365462982028259e+00,3.676570720862120556e+00,2.034220878313448833e-01,0.000000000000000000e+00
2.000000000000000944e-01,-5.009903863351338194e-01,1.016888689130482026e+00,-2.543077244154005712e+00,3.304554218486944972e+00,3.448064771921077742e-01,0.000000000000000000e+00
2.050000000000000988e-01,-5.133729942764958531e-01,1.032462834148347941e+00,-2.410072784419873493e+00,2.926189322958464345e+00,4.773422931909889755e-01,0.000000000000000000e+00
